2026학년도 1학기 본과정(계약학과 포함) 전체 강의시간표,,,,,,,,
1. 2026. 1. 30.자 시간표로 교원 충원 및 강의실 사정 등에 따라 변동될 수 있음,,,,,,,,
2. 교양 교과목에 대한 상세 안내는 교양 시간표 안내 공지를 참조,,,,,,,,
3. 실용음악과 전공실기 교과목 배정 관련 사항은 학과 문의,,,,,,,,
과정부분,학과명,과목명,분반,교수명,학년,이수구분명,학점,시간표
본과정,지적공간정보학과,지적공간정보종합설계,102,정영,2,전공과정,3,월 10:00 - 10:50 ( 공713 )  월 11:00 - 11:50 ( 공713 )  월 12:00 - 12:50 ( 공713 )
본과정,지적공간정보학과,지적도근측량및실습,101,이진녕,2,전공과정,3,목 10:00 - 10:50 ( 공101 )  목 11:00 - 11:50 ( 공101 )  목 12:00 - 12:50 ( 공101 )
본과정,지적공간정보학과,지적도근측량및실습,102,이진녕,2,전공과정,3,목 14:00 - 14:50 ( 공101 )  목 15:00 - 15:50 ( 공101 )  목 16:00 - 16:50 ( 공101 )
본과정,지적공간정보학과,토지정보체계론,101,유환종,2,전공과정,3,수 14:00 - 14:50 ( 공711 )  수 15:00 - 15:50 ( 공711 )  수 16:00 - 16:50 ( 공711 )
본과정,지적공간정보학과,토지정보체계론,102,유환종,2,전공과정,3,화 14:00 - 14:50 ( 공711 )  화 15:00 - 15:50 ( 공711 )  화 16:00 - 16:50 ( 공711 )
본과정,전기공학과,AI전기디자인씽킹,101,,1,전공과정,2,목 16:00 - 16:50 ( 공315 )  목 17:00 - 17:50 ( 공315 )
본과정,전기공학과,AI전기디자인씽킹,102,,1,전공과정,2,목 12:00 - 12:50 ( 공315 )  목 13:00 - 13:50 ( 공315 )
본과정,전기공학과,AI전기디자인씽킹,103,,1,전공과정,2,목 09:00 - 09:50 ( 공315 )  목 10:00 - 10:50 ( 공315 )
본과정,전기공학과,C언어,101,김태현,1,전공과정,3,화 14:00 - 14:50 ( 공315 )  화 15:00 - 15:50 ( 공315 )  화 16:00 - 16:50 ( 공315 )
본과정,전기공학과,C언어,102,김태현,1,전공과정,3,월 14:00 - 14:50 ( 공315 )  월 15:00 - 15:50 ( 공315 )  월 16:00 - 16:50 ( 공315 )
